Hundename,Original_Hundename,Score,EpiProgeny
Cambremer Royal Musician,"Int Ch Lux Ch, NL Ch Cambremer Royal Musician","0,375","Doro�s Bennet Fellow for Life, Gismo vom G?nsried, Nanni-Nadalina von der Bleiburg"
Osmine of Lucifers Delight,Ch Osmine of Lucifers Delight,"0,375","Doro�s Bennet Fellow for Life, Flying Flap Ears Duncan, Gismo vom G?nsried"
Lyn,FTCh Willowyck Lyn,"0,375","Eagle Owl's Osiris, Felice vom Lipperoder Bruch"
Plummer Kilderkin,Plummer Kilderkin,"0,375","Eagle Owl's Osiris, Felice vom Lipperoder Bruch, Mandylike's Twinkle, Ravenfly Arielle, Searover Day Mackay"
Drake,UK FTCh Shadowbrae Drake,"0,375","Eagle Owl's Osiris, Lochmuir Casey, Meadowlark Black Kite, Moorman's Lennie Mirak, SE LCH Streamlight's Ace Leon"
Trevale Twist,Trevale Twist,"0,375","Felice vom Lipperoder Bruch, Raven vom Tor zur Egge"
Turramurra,Turramurra Tan,"0,375","Felice vom Lipperoder Bruch, Ravenfly Arielle"
Yebrek Amathyst,Yebrek Amathyst,"0,375","Felice vom Lipperoder Bruch, Ravenfly Arielle"
Hamford Dixie of Brindlebay,FTCh Hamford Dixie of Brindlebay,"0,375","Felice vom Lipperoder Bruch, Hillraisins Black Bertha, Never change Gasper, Quickrunners Alan, Quickrunners August"
& Ir.FTCh Jasamine Star,GB FTCh & Ir.FTCh Jasamine Star,"0,375","Felice vom Lipperoder Bruch, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, SE J(J)CH Hillus Drake, Ravenfly Arielle"
Oulsmi Calypso,Oulsmi Calypso,"0,375","Fiin Hemuli, Illko Wind in the Willows"
Blackharn Jasper,Blackharn Jasper,"0,375","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Wijmas Lilla My, Wijmas Mymlan"
Raughlin Rebecca,Raughlin Rebecca,"0,375","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Wijmas Lilla My, Wijmas Mymlan"
Dainty,Greenwood Dainty,"0,375","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Ravenfly Arielle, Sirmakan Jitterbug"
Keysun Krispin of Blondella,UK CH Keysun Krispin of Blondella,"0,375","Fulmarus Dumpy Boy, Gismo vom G?nsried, Rosanan White Gold, Shadowvale's Tough Lady Hope"
Dame Farda,Kwinana's Dame Farda,"0,375","Fulmarus Dumpy Boy, Usvalinnun Cessi"
Stormette JW,Morningtown Stormette JW,"0,375","Fulmarus Dumpy Boy, Gent Fynn from the Old Mansion House, Illko Wind in the Willows, Lauterrinn's Dale Sir Wesley, Rosanan White Gold, Shadowvale's Tough Lady Hope"
Carromer's Charlie Chalk,"French Dual Champion, Multi Ch Carromer's Charlie Chalk","0,375","Funny Oskar von Gugi's Kate, Omenalaakson Charles For My Love, Water Dancer A Boy Called Boje"
Kupros Kirsch,Kupros Kirsch,"0,375","Gismo vom G?nsried, Gwendy's Gandalf, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Wesley"
Kestrel,GB Sh Ch Newinn Kestrel,"0,375","Gismo vom G?nsried, Hof Sommerberg Carlos, Oliver von Obderhalden, Sky Yard's Istvan Imre, Usvalinnun Cessi"
Brindlebay Jude,FTCh Brindlebay Jude,"0,375","Gr�fin von Westerholts Kastalia, Perdix Gundogs Englishman in New York"
Mansengreen Bizzy of Brindlebay,FTCh Mansengreen Bizzy of Brindlebay,"0,375","Gr�fin von Westerholts Kastalia, Perdix Gundogs Englishman in New York"
Mallorn's Chococrush,Dt.Ch. Mallorn's Chococrush,"0,375","Gr�fin von Westerholts Kastalia, Meta vom Barkendiek"
Bryndafydd Zeus,Bryndafydd Zeus,"0,375","Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy"
Mistress,Trenow Mistress,"0,375","Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy"
Alice of Hunters Heide,Alice of Hunters Heide,"0,375","Gwendy's Gandalf, Hof Sommerberg Carlos"
Highland Chief,Achnagairn Highland Chief,"0,375","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Melodie v.'T Meijelicht,French Melodie v.'T Meijelicht,"0,375","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Mardas Marine,Int. Fr.Ch. Mardas Marine,"0,375","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
Noisette du Bois des Lilas,Noisette du Bois des Lilas (LOF 100430/19415),"0,375","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
MHR Westwind's Bold Tiger NDC,FC AFC MHR Westwind's Bold Tiger NDC,"0,375","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
Southland Black-Eyed Susan,Southland Black-Eyed Susan,"0,375","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
Hamford Wilfred,FTW Hamford Wilfred,"0,375","Hardrocks Blue Danube, Kingsdale Meadow Dark, Muschelsucher Clooney"
Amazing Ragweed of Lubberland,Amazing Ragweed of Lubberland,"0,375","Hardrocks Blue Danube, Kingsdale Meadow Dark, Muschelsucher Clooney"
Simon of Birdbrook,FTCh Simon of Birdbrook,"0,375","Hardrocks Blue Danube, Mandylike's Porsche, Sirmakan Jitterbug"
Rockledge Bramble,Rockledge Bramble,"0,375","Hardscrabble Augusta, Saskian Xino"
Moorman's Canneloni,SE JCH Moorman's Canneloni,"0,375","Hillraisins Black Bertha, Huntrets Gott Mos, Limmerhultarna's Solstorm"
Huntrets Gryt-Bea,Huntrets Gryt-Bea,"0,375","Huntrets Scilla, Zetastar Zesty Boy"
Qora aus L�hlsbusch,Qora aus L�hlsbusch,"0,375","Iljoscha von der Perle der S�dpfalz, Meta vom Barkendiek"
Bradking Cassidy,GB ShCh Bradking Cassidy,"0,375","Illko Wind in the Willows, Lauterrinn's Dale Sir Wesley, Mira von Gugi's Kate, Oliver von Obderhalden, Shadowvale's Tough Lady Hope, Sky Yard's Istvan Imre"
Tsarodej Snowstorm,MultiCH Tsarodej Snowstorm,"0,375","Jost vom Settenbeck, Water Dancer A Boy Called Boje"
Bleekstone November Rain,Bleekstone November Rain,"0,375","Kebrekato Millenium Star, Riverflow Star Pleaser"
Waterfans Yellow-Camrose,Waterfans Yellow-Camrose,"0,375","King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
HySpire Inky Racer,HySpire Inky Racer,"0,375","Laboriginals Oi Va Voi, Meta vom Barkendiek"
Withara's Brodies Souvenir,AmCH Withara's Brodies Souvenir WC,"0,375","Laboriginals Oi Va Voi, Meta vom Barkendiek"
Winfall's Stormy Sunrise At Banner CGC,AmCH Winfall's Stormy Sunrise At Banner CGC,"0,375","Laboriginals Oi Va Voi, Meta vom Barkendiek"
Poolstead Pure Fluke,"INT./DRC-/VDH-CH. BS'86 CS(DRC)'85'86'87  Poolstead Pure Fluke BHP, BLP, JEP","0,375","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley"
Asta von der Fasanerie,Asta von der Fasanerie,"0,375","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley"
Sunny Loch's Kinlochgowrae,NL Ch Sunny Loch's Kinlochgowrae,"0,375","Lauterrinn's Dale Sir Wesley, Shadowvale's Tough Lady Hope, Sky Yard's Istvan Imre"
Balrion Lady Be Good,Balrion Lady Be Good,"0,375","Lauterrinn's Dale Sir Wesley, Sky Yard's Istvan Imre, Ulanda aus dem Burghaus"
Bj?rag?rdens Twinkleberry,Bj?rag?rdens Twinkleberry,"0,375","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo"
Ilona-Rose,Ilona-Rose,"0,375","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo"
Poolstead Pre-Eminent,Poolstead Pre-Eminent,"0,375","Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty, Pictorial Cenny"
Poolstead Prestige,Poolstead Prestige,"0,375","Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty, Pictorial Cenny"
Keness Huntsman,Keness Huntsman,"0,375","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Ernevale April,Ernevale April,"0,375","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Cleveling Cottager,Cleveling Cottager,"0,375","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Artfield Bess,Artfield Bess,"0,375","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Middlebere Ruby of Gospelash,FTW Middlebere Ruby of Gospelash,"0,375","Meadowlark Black Kite, Thorsvi Harris, Willowridge Five Star"
Hopper,Lakedown Hopper,"0,375","Meadowlark Black Kite, Thorsvi Harris, Willowridge Five Star"
Holdgate Dipper at Birdberi,Holdgate Dipper at Birdberi,"0,375","Meadowlark Black Kite, Thorsvi Harris, Willowridge Five Star"
& Ir.FTCh Ulstare Oak,GB FTCh & Ir.FTCh Ulstare Oak,"0,375","Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
Raughlin Sarah,FTCh Raughlin Sarah,"0,375","Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
Saffron Seeker,FTW Saffron Seeker,"0,375","Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
Drakeshead Will,Drakeshead Will,"0,375","Merjatuulian Wekkuli, Muistokas Rollo"
Soul Singer,GB Ch Elowood Soul Singer,"0,375","Merjatuulian Wekkuli, Muistokas Rollo, Usvalinnun Cessi"
Priorise Mysterious,Priorise Mysterious,"0,375","Merjatuulian Wekkuli, Muistokas Rollo, Usvalinnun Cessi"
Fameflair Obsession,Ch Fameflair Obsession,"0,375","Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich"
Mailiksen Gentleman,FINW-03 Mailiksen Gentleman,"0,375","Meta vom Barkendiek, Omenalaakson Charles For My Love"
Ir FTCh Glendarra Lass,Ir FTCh Glendarra Lass,"0,375","Namusillan Tammikehr��j�, Wijmas Lilla My, Wijmas Mymlan"
Tupla-Pummin Sallinak,Tupla-Pummin Sallinak,"0,375","NIINIVUOREN KULTA-KUTRI, Vauhti-Noudon Vauhtineito"
of Glenbriar,Knighthawk of Glenbriar,"0,375","Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Wijmas Lilla My, Wijmas Mymlan"
Poolstead Pineapple,Sh.Ch. Poolstead Pineapple,"0,375","Olina von der Hollen-Hardt, Pictorial Betty, Pictorial Cenny"
Kathmandu Ruadh of Donian,FTCh Kathmandu Ruadh of Donian,"0,375","Perdix Gundogs Englishman in New York, Pibiz Game Keeper"
Silversnipe Nitty Gritty,FTW Silversnipe Nitty Gritty,"0,375","Perdix Gundogs Englishman in New York, Pibiz Game Keeper"
Rockdove's Style'n Drive,Rockdove's Style'n Drive,"0,375","Reedsweeper's Desna, S?KH I VATTUMANNEN HUMLE"
Searover Forever,SE JCH Searover Forever,"0,375","Reedsweeper's Desna, S?KH I VATTUMANNEN HUMLE"
Classical Garbi,NORD JCH Classical Garbi,"0,375","Sea-Croft Nimble, Vauhti-Noudon Vauhtineito, Zetastar Zesty Boy"
SE J (A) CH SE JCH INT JCH Sea-Croft Scilla,SE J (A) CH SE JCH INT JCH Sea-Croft Scilla,"0,375","Sea-Croft Nimble, Vauhti-Noudon Vauhtineito"
Classical Spark-Light,Classical Spark-Light,"0,375","Splash of Water's Capercaillie, Splash of Water's Grouse, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
Tuff,Tuff (son of Black Adder of Clevebourne),"0,375","Splash of Water's Capercaillie, Splash of Water's Grouse, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
Flaxdale Juniper,Flaxdale Juniper,"0,375","Splash of Water's Capercaillie, Splash of Water's Grouse, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
Josephine of Silversnipe,FTCH Lochmuir Josephine of Silversnipe,"0,375","Thorsvi Rock Creek, Winning Line's License to Kill"
Rosebird Viorita Rose,Rosebird Viorita Rose,"0,375","Thorsvi Rock Creek, Winning Line's License to Kill"
Cambremer St. Clair,Sh Ch Cambremer St. Clair,"0,3125","Aaron from Elderberry Grove, Rosanan White Gold, Shadowvale's Tough Lady Hope"
Hot Pants of Warringah CCW,Lawnwood's Hot Pants of Warringah CCW,"0,3125","Aaron from Elderberry Grove, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
Sea Beaver,Int.Ch./Dt.Ch./VDH.Ch. Charway Sea Beaver,"0,3125","Aaron from Elderberry Grove, Ulanda aus dem Burghaus"
Bubbling Bedouine,WW-94 EE CH FI UCH INT UCH USA CH Bubbling Bedouine,"0,3125","Aika vom Steindammer-Forst, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Run A Round,Gowanvale Run A Round,"0,3125","Aika vom Steindammer-Forst, Armani Damon vom Asbrookdamm"
Flanders Pride Zara,Flanders Pride Zara,"0,3125","Aika vom Steindammer-Forst, Armani Damon vom Asbrookdamm"
Yellowstar (DK 25297/91),Yellowstar (DK 25297/91),"0,3125","Aika vom Steindammer-Forst, Gwendy's Gandalf"
Bonni vom Hohen Stein,Bonni vom Hohen Stein,"0,3125","Alerich of Trickster Hero, Gismo vom G?nsried, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Timspring Sultan,INTCH DKCH DKBRCH Timspring Sultan,"0,3125","Alflasker Barni, Gwendy's Gandalf"
Dunsinane Loch Lomond,Dunsinane Loch Lomond,"0,3125","Alflasker Barni, As Game As Ermara"
Curnafane Victoria,Curnafane Victoria,"0,3125","Alflasker Barni, As Game As Ermara"
KBHV81 DKCH INTCH Ballyduff Flint,KBHV81 DKCH INTCH Ballyduff Flint,"0,3125","Alflasker Barni, Dark Water's Endless Star"
Ballyduff Seaman,GB CH/AmCh Ballyduff Seaman,"0,3125","Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
Timspring Myrtle,Timspring Myrtle,"0,3125","Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
Wetherlam Sheba,Wetherlam Sheba,"0,3125","Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
Sandringham Magpie,FTCh Sandringham Magpie,"0,3125","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Sirmakan Jitterbug"
Hedenhampark Mallard,Hedenhampark Mallard,"0,3125","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Sirmakan Jitterbug, Willowridge G�sta-Berling"
Spudtamsons Berry of Mirstan,UK FTCh Spudtamsons Berry of Mirstan,"0,3125","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Sirmakan Jitterbug"
Drakeshead Thorne,FTCh Drakeshead Thorne,"0,3125","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Sirmakan Jitterbug"
alcedory Dona,Angeltown Chalcedory Dona,"0,3125","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Merjatuulian Wekkuli, Sirmakan Jitterbug"
Black Saphire,FTCh Angeltown's Black Saphire,"0,3125","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Hunting High And Low B'mali"
Arrak,Arrak (S22751/64),"0,3125","Amamus Pica-Pica, Merjatuulian Wekkuli, Sirmakan Jitterbug, Willowridge G�sta-Berling"
Knalles Othello,NORDUCH INTUCH SJCH Knalles Othello,"0,3125","Amamus Pica-Pica, Dirk von Stieg"
Elouise of Carpenny,GB SH CH Covetwood Elouise of Carpenny,"0,3125","Angel of Hope Arik, Hardscrabble Augusta, Riverflow Star Pleaser, Saskian Xino"
Plum Pudding,Birchbrook Plum Pudding,"0,3125","Angel of Hope Arik, Cassiopeia vom Hof F?rst, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
Bubbling Claire De Lune,Bubbling Claire De Lune,"0,3125","Angel of Hope Arik, King von der Bleiburg, Meta vom Barkendiek, Nanni-Nadalina von der Bleiburg"
Stormley Craftsman at Ludzska,C.C.W. Stormley Craftsman at Ludzska,"0,3125","Angel of Hope Arik, Armani Damon vom Asbrookdamm, Fiin Hemuli, Illko Wind in the Willows"
Simandem Sultan,Simandem Sultan,"0,3125","Angel of Hope Arik, Grages Annalouisa"
Tyton Mistress Mercutio of Jimjoy,Tyton Mistress Mercutio of Jimjoy,"0,3125","Angel of Hope Arik, Grages Annalouisa"
Dancing Jester,Dancing Jester,"0,3125","Angel of Hope Arik, Grages Annalouisa"
Gingies Truffle,Gingies Truffle,"0,3125","Angel of Hope Arik, Grages Annalouisa"
Winner Belgien '99 Little-Ben du Taillis Madame,Winner Belgien '99 Little-Ben du Taillis Madame,"0,3125","Angel of Hope Arik, Grages Annalouisa"
Brookland-Rosefair Seabreeze,Brookland-Rosefair Seabreeze,"0,3125","Angel of Hope Arik, Grages Annalouisa"
Gary of Clonbara,Ir.FTCh Gary of Clonbara,"0,3125","Anthony Kenneth from Grannies Garden, Deep Impact As Nike, Kingsdale Meadow Dark"
Lili Marlene,Lili Marlene,"0,3125","Anthony Kenneth from Grannies Garden, Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag"
Naiken Dazzling Daisi,Naiken Dazzling Daisi,"0,3125","Armani Damon vom Asbrookdamm, Clausi von der Aacher Haag, Crooked Field Action"
Banner's Muskelunge Buckeye,Am/Can CH Banner's Muskelunge Buckeye,"0,3125","Armani Damon vom Asbrookdamm, Catch me if you can Happy Carlo, Just Bertha von der Tarpenbek"
Gilh�j's Moster Molly,Dk.Ch Gilh�j's Moster Molly,"0,3125","Armani Damon vom Asbrookdamm, As Game As Ermara, Hardrocks Blue Danube"
Hamish,FTCh Kenswick Hamish,"0,3125","Bj�ragardens Timmy-Willie, Chilihunters Game Glen, SE J(J)CH Hillus Drake, Willowridge G�sta-Berling"
Hirsipirtin Kasino,Hirsipirtin Kasino,"0,3125","Black Bet's Gillie, Brookhill's Crabman"
Mallards Caddis Cased,FIUCH Mallards Caddis Cased,"0,3125","Black Bet's Gillie, Brookhill's Crabman"
Hirsipirtin Gummiseta,FIN Ch Hirsipirtin Gummiseta,"0,3125","Black Bet's Gillie, Brookhill's Crabman, Fulmarus Dumpy Boy"
Ballyduff Fergus,SUCH NUCH Ballyduff Fergus,"0,3125","Black Bet's Gillie, Hunting High And Low B'mali, Muistokas Rollo, Usvalinnun Asterix"
Hunt Club Clayview Brown Derby,AmCH Hunt Club Clayview Brown Derby,"0,3125","Black Hamlet L for Lake Shasta, Country Companion's Choco Pie, Just Bertha von der Tarpenbek"
Lubberline Chocolate Factory,Lubberline Chocolate Factory,"0,3125","Black Hamlet L for Lake Shasta, Country Companion's Choco Pie, Just Bertha von der Tarpenbek"
Wiscoy Talimar Marina,Wiscoy Talimar Marina,"0,3125","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek, Saskian Xino"
NOR Birchbrook Barley Wine of Charway,CH.NOR Birchbrook Barley Wine of Charway,"0,3125","Black Hamlet L for Lake Shasta, Fancyful Tramp Charly Brown, Saskian Xino"
Loresho Ozzie,FI UCH Loresho Ozzie,"0,3125","Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Fancyful Tramp Charly Brown, Just Bertha von der Tarpenbek"
Fandango,Lawnwood Fandango,"0,3125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
Lawnwoods Starglow,Lawnwoods Starglow,"0,3125","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
Astonbrook Crusader,GB ShCh Astonbrook Crusader,"0,3125","Brookhill's Crabman, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Shadowvale's Tough Lady Hope"
Storming Lass,Follytower Storming Lass,"0,3125","Brookhill's Crabman, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Shadowvale's Tough Lady Hope"
Cassatas Chivas-Regal,SE UCH Cassatas Chivas-Regal,"0,3125","Cannonpowder Penelope, Dark Water's Endless Star, Fiin Hemuli"
Trifolium,CH Beechcroft's Trifolium,"0,3125","Cannonpowder Penelope, Dark Water's Endless Star, Fiin Hemuli, Judges Choice Cross my Heart"
Ashbrooke Alfie,FTW Ashbrooke Alfie,"0,3125","Caper Cailie's Ohio, Flying Flap Ears Duncan, Flying Flap Ears Ice Age, Wijmas Lilla My, Wijmas Mymlan"
Styleside Semola,Styleside Semola,"0,3125","Carson vom Stecknitztal, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Limmerhultarna's Solstorm"
Raughlin Rose,IrlFTCH  Raughlin Rose,"0,3125","Carson vom Stecknitztal, Clinton vom Hembeck, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl"
Snipe,Glenloch Snipe,"0,3125","Carson vom Stecknitztal, Hunting High And Low B'mali, Searover Ruffling Thea, Streamlight's Pearl Sandy, Viltv�rdarns Galax"
Dry Creek Den-Mark,"Ch DK, EW Dry Creek Den-Mark","0,3125","Cassiopeia vom Hof F?rst, Yes we can Flic in France"
Fieldvalley's Fabianco,Fieldvalley's Fabianco,"0,3125","Cassiopeia vom Hof F?rst, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, King von der Bleiburg"
Blondella Buttons'n Bows,Int. Ch. Blondella Buttons'n Bows,"0,3125","Cassiopeia vom Hof F?rst, Illko Wind in the Willows, Mira von Gugi's Kate"
Abbeystead Herons Court,GB Ch Abbeystead Herons Court,"0,3125","Charway Rainstorm, Gent Fynn from the Old Mansion House"
Palgrave Holly,FTCh Palgrave Holly,"0,3125","Charway Rainstorm, Chilihunters Game Glen, Viltv�rdarns Galax, Willowridge G�sta-Berling"
Derryboy Daniel,FTCh/IrlFTCh Derryboy Daniel,"0,3125","Charway Rainstorm, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Quickrunners Alan, Quickrunners August"
Barnavara Chub,FTCh Barnavara Chub,"0,3125","Chilihunters Pro Hazy, Deep Impact As Nike, Namusillan Tammikehr��j�, Reedsweeper's Desna, Waterfowler Ace"
Shadden Dale,Shadden Dale,"0,3125","Chilihunters Pro Hazy, Deep Impact As Nike, Namusillan Tammikehr��j�, Reedsweeper's Desna, Waterfowler Ace"
Personality,Lenches Personality,"0,3125","Clausi von der Aacher Haag, Crooked Field Action, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
Jacob Bogdani of Leadburn,FTW Jacob Bogdani of Leadburn,"0,3125","Cliff vom Zwillbrocker Venn, Moorman's Lennie Mirak, Quickrunners Alan, Quickrunners August"
Morayglen Megan of Millbuies,FTCh Morayglen Megan of Millbuies,"0,3125","Cliff vom Zwillbrocker Venn, Meadowlark Black Kite, Searover Sweet Flip Flop, Tealshead Bracken, Thorsvi Harris"
Raughlin Roland of Kelvinhead,Raughlin Roland of Kelvinhead,"0,3125","Clinton vom Hembeck, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Mandylike's Porsche"
Kelvinhead Candour,Kelvinhead Candour,"0,3125","Clinton vom Hembeck, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Mandylike's Porsche"
Borre's A Dina,Borre's A Dina,"0,3125","Clinton vom Hembeck, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Mandylike's Porsche"
Searover Cary,Searover Cary,"0,3125","COSMIC COVER'S WIN CALL TO FIND OUT, Limmerhultarna's Solstorm"
Moorwood Jewel,Am CH Moorwood Jewel,"0,3125","Crooked Field Action, Eternal Friend's Bright Eyes, Fulmarus Dumpy Boy, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Marshland Blitz,Am CH Marshland Blitz,"0,3125","Crooked Field Action, Eternal Friend's Bright Eyes, Fulmarus Dumpy Boy, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Dickendall's Rose Royce,Dickendall's Rose Royce,"0,3125","Crooked Field Action, Eternal Friend's Bright Eyes, Fulmarus Dumpy Boy, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Fogel Hlara Forever Young,NL CH Fogel Hlara Forever Young,"0,3125","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power"
Fogel Hlara Yesterday,NLCH Fogel Hlara Yesterday,"0,3125","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power"
Wiscoys Noah,Am/Can CH Wiscoys Noah,"0,3125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Kebrekato Millenium Star"
Filia aus dem Burghaus,Filia aus dem Burghaus,"0,3125","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Doro�s Bennet Fellow for Life"
Cambremer Tudor Minstrel,AmCH Cambremer Tudor Minstrel CD JH,"0,3125","Dark Water's Endless Star, Fiin Hemuli, Judges Choice Cross my Heart"
Trillium,AmCH Beechcrofts Trillium,"0,3125","Dark Water's Endless Star, Fiin Hemuli, Judges Choice Cross my Heart"
Tomarc,AmCH Beechcrofts Edgewood Tomarc,"0,3125","Dark Water's Endless Star, Funny Oskar von Gugi's Kate, Holli von Gugi's Kate, Illko Wind in the Willows, Mira von Gugi's Kate"
RUS Tweedledum Against Allodds,CH RUS Tweedledum Against Allodds,"0,3125","Donna of Anny's Labs, Dumbledore of Anny's Labs, Laboriginals Oi Va Voi"
Playtime at Rocheby,Playtime at Rocheby,"0,3125","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Sea Farer,Philipstown Rocheby Sea Farer,"0,3125","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Dunoran Top Secret,Philipstown Dunoran Top Secret,"0,3125","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
Pamilo Yellow Bunting at Rocheby,Pamilo Yellow Bunting at Rocheby,"0,3125","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
